ID,ParentID,Name,Type,BaseFlow,InitialStage,WarningStage,BoundaryStage,Comment,ShapeX,ShapeY,ShapeZ,TextX,TextY,TextZ,TextAngle,IsPlaced
56,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N029,2,0,0,0,,,693164.277389,807733.598812,0,693167.277389,693167.277389,0.0,0,1
57,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N019,2,0,0,0,,,691063.583099,807233.598828,0,691066.583099,691066.583099,0.0,0,1
58,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N030,2,0,0,0,,,693274.665291,807973.616377,0,693277.665291,693277.665291,0.0,0,1
59,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N286,2,0,0,0,,,692310.79714,807137.870017,0,692313.79714,692313.79714,0.0,0,1
60,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N287,2,0,0,0,,,692299.94644,807947.910392,0,692302.94644,692302.94644,0.0,0,1
61,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N402,2,0,0,0,,,693653.243274,806853.585809,0,693656.243274,693656.243274,0.0,0,1
62,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N041,2,0,0,0,,,693645.677672,807292.979615,0,693648.677672,693648.677672,0.0,0,1
63,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N033,2,0,0,0,,,691286.601026,808199.310807,0,691289.601026,691289.601026,0.0,0,1
64,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N034,2,0,0,0,,,691998.406361,808805.213467,0,692001.406361,692001.406361,0.0,0,1
65,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N003,2,0,0,0,,,697365.962883,806857.600564,0,697368.962883,697368.962883,0.0,0,1
66,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N375,2,0,0,0,,,692811.292858,805947.436046,0,692814.292858,692814.292858,0.0,0,1
67,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N376,2,0,0,0,,,692320.815165,805942.557447,0,692323.815165,692323.815165,0.0,0,1
68,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N377,2,0,0,0,,,691130.148583,806295.54657,0,691133.148583,691133.148583,0.0,0,1
69,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N038,2,0,0,0,,,691145.339497,806204.400755,0,691148.339497,691148.339497,0.0,0,1
70,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N280,2,0,0,0,,,692672.327585,806959.265059,0,692675.327585,692675.327585,0.0,0,1
71,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N281,2,0,0,0,,,692630.661002,806638.952708,0,692633.661002,692633.661002,0.0,0,1
72,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N282,2,0,0,0,,,693193.160861,806810.827692,0,693196.160861,693196.160861,0.0,0,1
73,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N283,2,0,0,0,,,694562.518687,807710.13298,0,694565.518687,694565.518687,0.0,0,1
74,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N284,2,0,0,0,,,691747.209685,806816.019939,0,691750.209685,691750.209685,0.0,0,1
75,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N285,2,0,0,0,,,691838.682599,806816.876236,0,691841.682599,691841.682599,0.0,0,1
76,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N389,2,0,0,0,,,696989.445591,807937.716842,0,696992.445591,696992.445591,0.0,0,1
77,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N395,2,0,0,0,,,691281.371377,808075.806133,0,691284.371377,691284.371377,0.0,0,1
78,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N300,2,0,0,0,,,697563.894574,806523.351889,0,697566.894574,697566.894574,0.0,0,1
79,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N350,2,0,0,0,,,691767.837924,808345.620882,0,691770.837924,691770.837924,0.0,0,1
